iter	Passed	Remaining
0	1	1349
1	2	1086
2	3	1032
3	3	984
4	4	910
5	5	882
6	6	863
7	6	854
8	7	851
9	8	842
10	9	834
11	10	833
12	10	824
13	11	818
14	12	814
15	13	809
16	14	809
17	14	809
18	15	806
19	16	806
20	17	804
21	17	789
22	18	786
23	19	786
24	20	783
25	20	780
26	21	778
27	22	776
28	22	768
29	23	766
30	24	767
31	25	767
32	26	768
33	27	767
34	27	768
35	28	769
36	29	770
37	30	770
38	31	769
39	31	765
40	32	766
41	33	760
42	34	760
43	35	761
44	35	761
45	36	761
46	37	760
47	38	756
48	38	754
49	39	755
50	40	749
51	41	748
52	41	749
53	42	748
54	43	749
55	44	749
56	45	748
57	46	748
58	46	742
59	47	740
60	47	735
61	48	734
62	49	733
63	50	731
64	50	733
65	51	731
66	52	730
67	53	730
68	54	730
69	54	730
70	55	729
71	56	728
72	57	724
73	57	720
74	58	719
75	59	718
76	59	717
77	60	716
78	61	715
79	62	715
80	63	715
81	63	714
82	64	713
83	65	712
84	66	712
85	66	711
86	67	711
87	68	711
88	69	710
89	70	710
90	71	709
91	71	708
92	72	708
93	73	707
94	74	707
95	75	706
96	75	706
97	76	706
98	77	706
99	78	705
100	79	704
101	79	703
102	80	701
103	81	701
104	82	701
105	83	701
106	84	701
107	84	700
108	85	699
109	86	698
110	87	698
111	88	697
112	88	697
113	89	696
114	90	696
115	91	696
116	92	695
117	92	694
118	93	694
119	94	693
120	95	693
121	96	692
122	96	691
123	97	690
124	98	690
125	99	688
126	100	688
127	100	687
128	101	685
129	102	682
130	102	681
131	103	681
132	104	679
133	104	678
134	105	677
135	106	676
136	107	675
137	108	675
138	108	675
139	109	674
140	110	674
141	111	673
142	111	670
143	112	670
144	113	669
145	114	669
146	115	668
147	116	668
148	116	667
149	117	666
150	118	666
151	119	666
152	120	665
153	121	664
154	121	661
155	122	660
156	122	659
157	123	658
158	124	657
159	125	656
160	125	656
161	126	655
162	127	655
163	128	654
164	129	653
165	129	652
166	130	651
167	131	650
168	132	649
169	132	648
170	133	647
171	134	645
172	134	644
173	135	644
174	136	644
175	137	644
176	138	643
177	139	643
178	140	643
179	141	642
180	141	642
181	142	641
182	143	641
183	144	641
184	145	640
185	146	640
186	147	639
187	147	638
188	148	638
189	149	636
190	150	636
191	150	635
192	151	634
193	152	634
194	153	633
195	154	632
196	155	631
197	155	629
198	156	628
199	157	628
200	157	627
201	158	626
202	159	625
203	160	624
204	160	624
205	161	623
206	162	623
207	163	622
208	163	620
209	164	618
210	165	618
211	166	617
212	166	616
213	167	615
214	168	615
215	169	614
216	170	614
217	171	613
218	171	612
219	172	611
220	173	611
221	174	610
222	175	610
223	175	608
224	176	606
225	176	605
226	177	604
227	178	603
228	179	602
229	179	602
230	180	601
231	181	601
232	182	600
233	183	599
234	183	598
235	184	597
236	185	596
237	186	596
238	186	595
239	187	594
240	188	593
241	189	592
242	190	592
243	190	591
244	191	590
245	192	590
246	193	589
247	194	588
248	195	588
249	195	587
250	196	586
251	197	585
252	198	585
253	198	584
254	199	583
255	200	583
256	201	582
257	202	581
258	203	581
259	203	580
260	204	579
261	205	578
262	206	578
263	207	577
264	207	576
265	208	576
266	209	576
267	210	575
268	211	574
269	212	573
270	212	572
271	213	571
272	214	571
273	215	570
274	215	569
275	216	568
276	217	567
277	218	567
278	219	566
279	220	565
280	220	565
281	221	564
282	222	563
283	223	562
284	223	561
285	224	560
286	225	559
287	226	559
288	227	558
289	227	557
290	228	557
291	229	555
292	230	555
293	230	554
294	231	553
295	232	552
296	233	552
297	234	551
298	234	550
299	235	549
300	236	549
301	237	548
302	238	548
303	239	547
304	239	546
305	240	546
306	241	545
307	242	544
308	243	543
309	243	543
310	244	542
311	245	541
312	246	541
313	247	540
314	248	539
315	248	538
316	249	537
317	250	537
318	251	536
319	252	535
320	252	535
321	253	534
322	254	533
323	255	532
324	256	532
325	256	531
326	257	530
327	258	529
328	259	528
329	260	528
330	260	527
331	261	526
332	262	525
333	263	524
334	263	523
335	264	522
336	265	522
337	266	521
338	267	521
339	268	520
340	269	519
341	269	519
342	270	518
343	271	517
344	272	516
345	272	515
346	273	515
347	274	514
348	275	514
349	276	513
350	277	512
351	278	511
352	278	510
353	279	509
354	279	508
355	280	507
356	281	507
357	282	506
358	283	505
359	283	504
360	284	504
361	285	503
362	286	502
363	287	501
364	288	501
365	288	500
366	289	499
367	290	498
368	291	497
369	291	496
370	292	495
371	293	495
372	294	494
373	294	493
374	295	492
375	296	491
376	297	491
377	297	490
378	298	489
379	299	488
380	299	487
381	300	486
382	301	485
383	302	485
384	303	484
385	304	483
386	304	482
387	305	481
388	306	480
389	307	480
390	307	479
391	308	478
392	309	477
393	310	477
394	311	476
395	312	476
396	312	475
397	313	474
398	314	473
399	315	473
400	316	472
401	316	471
402	317	470
403	318	469
404	319	469
405	320	468
406	321	467
407	321	467
408	322	466
409	323	465
410	324	464
411	325	464
412	325	463
413	326	462
414	327	461
415	328	460
416	329	460
417	329	459
418	330	458
419	331	457
420	332	457
421	333	456
422	334	455
423	334	454
424	335	454
425	336	453
426	337	452
427	338	451
428	338	451
429	339	450
430	340	449
431	341	448
432	342	448
433	343	447
434	343	446
435	346	447
436	347	447
437	348	446
438	348	445
439	349	445
440	350	444
441	351	443
442	352	442
443	353	442
444	353	441
445	354	440
446	355	439
447	356	439
448	357	438
449	358	437
450	358	436
451	359	436
452	360	435
453	361	434
454	362	433
455	363	433
456	364	432
457	364	431
458	365	430
459	366	430
460	367	429
461	367	428
462	368	427
463	369	426
464	370	426
465	371	425
466	371	424
467	372	423
468	373	423
469	374	422
470	375	421
471	376	420
472	377	420
473	377	419
474	378	418
475	379	417
476	380	416
477	380	415
478	381	415
479	382	414
480	383	413
481	384	413
482	385	412
483	385	411
484	386	410
485	387	409
486	388	408
487	388	408
488	389	407
489	390	406
490	391	405
491	392	405
492	393	404
493	394	403
494	394	402
495	395	402
496	396	401
497	397	400
498	398	399
499	398	398
500	399	398
501	400	397
502	401	396
503	401	395
504	402	394
505	403	393
506	404	393
507	405	392
508	405	391
509	406	390
510	407	389
511	408	389
512	409	388
513	410	387
514	411	387
515	411	386
516	412	385
517	413	384
518	414	384
519	415	383
520	416	382
521	416	381
522	417	381
523	418	380
524	419	379
525	420	378
526	421	378
527	422	377
528	423	376
529	423	375
530	424	375
531	425	374
532	426	373
533	426	372
534	427	371
535	428	371
536	429	370
537	430	369
538	431	368
539	431	367
540	432	367
541	433	366
542	434	365
543	435	364
544	436	364
545	436	363
546	437	362
547	438	361
548	439	361
549	440	360
550	441	359
551	442	358
552	442	357
553	443	356
554	444	356
555	445	355
556	445	354
557	446	353
558	447	352
559	448	352
560	448	351
561	449	350
562	450	349
563	451	348
564	451	347
565	452	346
566	453	346
567	453	345
568	454	344
569	455	343
570	456	342
571	456	341
572	457	341
573	458	340
574	459	339
575	460	338
576	461	337
577	461	337
578	462	336
579	463	335
580	464	334
581	464	333
582	465	333
583	466	332
584	467	331
585	468	330
586	468	329
587	469	329
588	470	328
589	471	327
590	472	326
591	472	325
592	473	325
593	474	324
594	475	323
595	476	322
596	477	322
597	477	321
598	478	320
599	479	319
600	480	318
601	481	318
602	481	317
603	482	316
604	483	315
605	484	314
606	485	314
607	485	313
608	486	312
609	487	311
610	488	310
611	488	309
612	489	309
613	490	308
614	491	307
615	491	306
616	492	305
617	493	304
618	494	304
619	495	303
620	495	302
621	496	301
622	497	300
623	498	300
624	498	299
625	499	298
626	500	297
627	501	296
628	501	296
629	502	295
630	503	294
631	504	293
632	505	292
633	505	291
634	506	291
635	507	290
636	508	289
637	508	288
638	509	287
639	510	287
640	511	286
641	512	285
642	512	284
643	513	283
644	514	283
645	515	282
646	515	281
647	516	280
648	517	279
649	518	279
650	519	278
651	519	277
652	520	276
653	521	275
654	522	274
655	522	274
656	523	273
657	524	272
658	525	271
659	526	271
660	526	270
661	527	269
662	528	268
663	529	267
664	530	266
665	530	266
666	531	265
667	532	264
668	533	264
669	534	263
670	535	262
671	536	261
672	537	261
673	537	260
674	538	259
675	539	258
676	540	257
677	541	257
678	542	256
